indicator_id,region_id,date,value
Z1BR,31819,1996-01-31,66471.0
ZSFH,18164,1996-12-31,56728.0
ZALL,67725,1996-03-31,156673.0
Z2BR,59459,1996-05-31,72062.0
Z4BR,97223,1996-12-31,95675.0
ZSFH,75696,1996-12-31,92585.0
Z1BR,32992,1996-12-31,96650.0
ZSFH,49129,1996-07-31,51935.0
ZCON,275659,1996-01-31,103763.0
Z5BR,274547,1996-08-31,104896.0
Z4BR,394992,1996-09-30,77644.0
Z5BR,82515,1996-02-29,94149.0
ZSFH,271467,1996-03-31,356958.0
Z2BR,273332,1996-01-31,106112.0
Z2BR,763575,1996-06-30,99481.0
Z3BR,10727,1996-08-31,105894.0
Z4BR,74735,1996-06-30,98731.0
Z5BR,98176,1996-05-31,366032.0
ZALL,26526,1996-05-31,209777.0
ZALL,4904,1996-01-31,107147.0
Z4BR,252182,1996-10-31,284381.0
ZALL,93279,1996-11-30,232230.0
ZALL,394910,1996-02-29,93041.0
Z3BR,93594,1996-05-31,98096.0
Z4BR,38794,1996-03-31,111789.0
Z1BR,55477,1996-07-31,139274.0
ZABT,7241,1996-07-31,130394.0
ZCON,77677,1996-05-31,72471.0
Z3BR,760921,1996-04-30,119010.0
ZSFH,417610,1996-12-31,123939.0
ZALL,47496,1996-12-31,134966.0
Z5BR,96545,1996-05-31,255852.0
Z4BR,4280,1996-08-31,134468.0
Z3BR,89025,1996-01-31,66060.0
Z4BR,49520,1996-07-31,43672.0
Z3BR,79385,1996-10-31,109063.0
Z3BR,89254,1996-10-31,67162.0
ZABT,394538,1996-04-30,27415.0
Z5BR,211078,1996-09-30,109016.0
ZATT,230978,1996-09-30,165842.0
Z2BR,78980,1996-10-31,122964.0
ZSFH,51659,1996-10-31,210287.0
Z2BR,66740,1996-04-30,148949.0
ZALL,100129,1996-11-30,89575.0
Z5BR,24336,1996-05-31,116963.0
ZALL,140913,1996-03-31,41653.0
ZSFH,76287,1996-02-29,51048.0
ZABT,330,1996-10-31,93318.0
ZATT,16400,1996-04-30,168932.0
Z2BR,84314,1996-04-30,104942.0
Z4BR,32975,1996-09-30,158024.0
ZALL,95820,1996-07-31,230898.0
Z4BR,416352,1996-11-30,224157.0
Z2BR,62419,1996-02-29,71394.0
Z5BR,268506,1996-03-31,253077.0
ZSFH,51089,1996-01-31,85704.0
Z5BR,22931,1996-10-31,58586.0
ZCON,40059,1996-04-30,65290.0
ZALL,8000,1996-10-31,141241.0
ZALL,623416,1996-03-31,99103.0
ZSFH,94471,1996-08-31,144153.0
ZSFH,60659,1996-06-30,154435.0
Z3BR,121971,1996-06-30,191939.0
ZALL,52194,1996-11-30,71508.0
Z5BR,89805,1996-08-31,355809.0
Z3BR,58771,1996-04-30,257481.0
Z5BR,417807,1996-07-31,152346.0
Z4BR,254519,1996-09-30,77976.0
Z5BR,11537,1996-12-31,220702.0
Z5BR,63563,1996-09-30,261499.0
Z5BR,623403,1996-05-31,56223.0
Z5BR,32466,1996-11-30,124363.0
ZSFH,91223,1996-05-31,141976.0
Z4BR,398052,1996-09-30,227839.0
ZALL,274822,1996-05-31,117555.0
ZABT,394320,1996-07-31,26730.0
Z4BR,59766,1996-05-31,102699.0
Z4BR,84887,1996-03-31,56811.0
ZABT,29400,1996-07-31,116532.0
Z3BR,399672,1996-04-30,181524.0
ZALL,9519,1996-05-31,107339.0
Z3BR,762289,1996-06-30,113376.0
ZALL,75471,1996-06-30,64755.0
Z5BR,20364,1996-02-29,113187.0
Z1BR,45470,1996-07-31,89429.0
Z5BR,11337,1996-11-30,284993.0
Z4BR,762799,1996-02-29,123956.0
ZALL,62463,1996-04-30,51343.0
ZSFH,155354,1996-08-31,71535.0
Z1BR,737786,1996-04-30,272115.0
ZABT,36125,1996-11-30,64085.0
ZCON,394736,1996-08-31,134960.0
Z2BR,763781,1996-08-31,109628.0
ZSFH,274866,1996-06-30,157195.0
ZATT,50705,1996-05-31,82773.0
ZALL,11762,1996-10-31,63232.0
Z2BR,397593,1996-05-31,233278.0
Z1BR,273322,1996-04-30,136915.0
Z4BR,77011,1996-02-29,92356.0
ZATT,2846,1996-02-29,157264.0
ZCON,31093,1996-02-29,114257.0
Z1BR,398470,1996-08-31,82265.0
ZSFH,32288,1996-04-30,63243.0
ZSFH,417183,1996-02-29,54132.0
Z2BR,85890,1996-08-31,72262.0
ZSFH,194843,1996-10-31,97425.0
Z4BR,65530,1996-09-30,74164.0
Z3BR,79236,1996-01-31,55106.0
Z4BR,269493,1996-08-31,147083.0
ZATT,37486,1996-10-31,206333.0
Z4BR,422774,1996-07-31,94421.0
Z4BR,28313,1996-06-30,112120.0
ZCON,51996,1996-01-31,142674.0
ZALL,76688,1996-11-30,111863.0
Z2BR,121726,1996-05-31,319396.0
Z5BR,270903,1996-05-31,313193.0
Z3BR,82042,1996-10-31,88150.0
Z4BR,403559,1996-06-30,779246.0
ZSFH,40475,1996-06-30,155018.0
ZSFH,52990,1996-10-31,85692.0
Z3BR,10479,1996-05-31,304023.0
Z2BR,32548,1996-07-31,244220.0
Z1BR,79785,1996-09-30,156359.0
ZATT,39395,1996-07-31,145467.0
Z4BR,65786,1996-01-31,116210.0
ZALL,417909,1996-06-30,59779.0
Z3BR,45263,1996-12-31,116616.0
Z2BR,24476,1996-10-31,87492.0
ZSFH,276023,1996-07-31,139902.0
ZSFH,275737,1996-07-31,135864.0
ZALL,56044,1996-07-31,65802.0
Z5BR,429,1996-05-31,196299.0
ZALL,49777,1996-05-31,219771.0
Z3BR,65862,1996-07-31,219665.0
ZCON,58993,1996-07-31,65425.0
Z3BR,762209,1996-08-31,155724.0
Z5BR,38272,1996-07-31,158885.0
Z4BR,269930,1996-03-31,112016.0
Z2BR,42863,1996-02-29,139020.0
Z3BR,125219,1996-10-31,211641.0
Z2BR,18579,1996-06-30,37772.0
ZSFH,60899,1996-03-31,129971.0
Z4BR,68550,1996-06-30,110971.0
Z3BR,394568,1996-06-30,57826.0
ZSFH,38480,1996-10-31,58649.0
ZALL,417232,1996-05-31,65102.0
ZCON,18096,1996-05-31,141785.0
Z1BR,77035,1996-02-29,78284.0
ZATT,14362,1996-06-30,109658.0
ZATT,19185,1996-08-31,182064.0
Z2BR,45339,1996-08-31,112640.0
Z2BR,58590,1996-11-30,184472.0
ZATT,608,1996-10-31,108550.0
ZCON,91987,1996-02-29,87272.0
Z4BR,11278,1996-04-30,110583.0
Z4BR,59081,1996-07-31,168409.0
ZALL,22545,1996-03-31,102030.0
Z1BR,50348,1996-12-31,158785.0
Z3BR,17569,1996-06-30,60266.0
Z4BR,763696,1996-04-30,120937.0
ZSFH,37840,1996-02-29,85495.0
ZCON,198048,1996-10-31,71305.0
ZALL,52768,1996-05-31,151805.0
ZSFH,32513,1996-02-29,83554.0
Z4BR,54802,1996-04-30,612170.0
ZALL,91687,1996-04-30,72031.0
ZABT,398705,1996-12-31,115013.0
ZCON,6784,1996-12-31,90617.0
Z2BR,396180,1996-01-31,42774.0
Z4BR,95838,1996-11-30,139339.0
ZSFH,51115,1996-12-31,108433.0
ZALL,13109,1996-04-30,105219.0
Z4BR,397405,1996-07-31,150921.0
ZCON,59303,1996-11-30,191929.0
ZALL,17117,1996-05-31,298702.0
Z1BR,18948,1996-04-30,150610.0
ZALL,272834,1996-12-31,69135.0
Z2BR,56857,1996-04-30,154575.0
Z3BR,76938,1996-01-31,49268.0
ZATT,37984,1996-03-31,230240.0
ZSFH,66755,1996-09-30,687042.0
ZCON,209596,1996-03-31,97326.0
ZSFH,275770,1996-01-31,107279.0
ZABT,31594,1996-08-31,86286.0
Z4BR,59286,1996-12-31,115331.0
Z2BR,53315,1996-08-31,100900.0
Z2BR,37927,1996-07-31,104767.0
Z3BR,78873,1996-05-31,59328.0
ZSFH,1638,1996-09-30,163744.0
Z2BR,56640,1996-02-29,153869.0
Z3BR,77625,1996-09-30,94047.0
Z4BR,66583,1996-10-31,188972.0
Z4BR,72471,1996-03-31,106311.0
Z3BR,58841,1996-03-31,252942.0
Z2BR,19108,1996-11-30,89296.0
ZALL,10389,1996-05-31,403829.0
Z4BR,43198,1996-12-31,95184.0
ZSFH,20692,1996-08-31,89295.0
Z2BR,274013,1996-05-31,83375.0
Z5BR,204189,1996-01-31,67020.0
Z3BR,61005,1996-02-29,238314.0
ZATT,31289,1996-11-30,77934.0
Z4BR,76655,1996-05-31,65444.0
Z4BR,236288,1996-11-30,131490.0
ZSFH,11944,1996-03-31,63646.0
ZSFH,41293,1996-11-30,110559.0
Z5BR,399122,1996-05-31,40976.0
ZSFH,61002,1996-01-31,123903.0
Z1BR,84376,1996-06-30,86482.0
Z3BR,112342,1996-03-31,97100.0
ZALL,47754,1996-09-30,46945.0
Z3BR,19509,1996-06-30,60725.0
ZSFH,96971,1996-03-31,260120.0
Z5BR,33957,1996-08-31,117189.0
Z3BR,147587,1996-03-31,67861.0
Z4BR,97020,1996-03-31,173413.0
ZCON,96109,1996-04-30,208073.0
Z3BR,214976,1996-09-30,35187.0
Z4BR,113576,1996-09-30,183015.0
ZALL,66674,1996-08-31,344963.0
Z5BR,98850,1996-10-31,310212.0
Z4BR,1613,1996-02-29,79174.0
Z3BR,398086,1996-10-31,133772.0
Z4BR,417053,1996-05-31,587576.0
Z5BR,29733,1996-07-31,120572.0
ZALL,62293,1996-10-31,172417.0
ZALL,65246,1996-01-31,25953.0
Z4BR,417984,1996-12-31,97841.0
Z4BR,197877,1996-12-31,281203.0
ZALL,64112,1996-09-30,49786.0
Z2BR,75862,1996-11-30,120434.0
Z3BR,272110,1996-02-29,98851.0
ZALL,394788,1996-11-30,81925.0
Z2BR,998,1996-11-30,26471.0
ZATT,395022,1996-12-31,187288.0
ZALL,763236,1996-01-31,64397.0
ZSFH,5514,1996-09-30,105064.0
Z4BR,16893,1996-08-31,69348.0
ZSFH,5894,1996-05-31,280523.0
ZATT,21618,1996-02-29,93696.0
ZABT,10619,1996-08-31,41903.0
ZCON,271669,1996-03-31,137531.0
ZSFH,60998,1996-04-30,72973.0
Z3BR,737998,1996-03-31,159249.0
Z2BR,73144,1996-12-31,60607.0
Z5BR,15425,1996-06-30,121231.0
ZSFH,84614,1996-11-30,160781.0
Z4BR,95753,1996-05-31,187298.0
ZALL,46468,1996-02-29,36121.0
Z4BR,96267,1996-05-31,210257.0
Z3BR,59973,1996-06-30,103426.0
Z3BR,264035,1996-01-31,36280.0
ZALL,77939,1996-10-31,86781.0
Z4BR,417148,1996-09-30,66485.0
ZSFH,77616,1996-03-31,71121.0
Z4BR,44131,1996-06-30,171465.0
Z3BR,55195,1996-03-31,60922.0
Z5BR,21224,1996-06-30,405105.0
Z3BR,760920,1996-06-30,137456.0
Z3BR,764247,1996-04-30,95525.0
ZABT,48638,1996-04-30,83737.0
ZSFH,38333,1996-02-29,194980.0
ZSFH,46559,1996-12-31,212500.0
ZABT,24339,1996-01-31,23150.0
ZALL,90650,1996-05-31,144496.0
ZALL,62225,1996-12-31,161584.0
Z3BR,69789,1996-07-31,107129.0
Z3BR,240428,1996-06-30,119333.0
Z2BR,276291,1996-07-31,76741.0
ZSFH,418001,1996-03-31,135503.0
ZALL,63960,1996-08-31,89511.0
ZALL,274067,1996-05-31,111204.0
Z5BR,268060,1996-02-29,138322.0
Z2BR,15695,1996-07-31,59678.0
Z4BR,417196,1996-08-31,180765.0
Z3BR,100153,1996-09-30,93724.0
Z5BR,60369,1996-05-31,270275.0
ZATT,14541,1996-12-31,219515.0
ZSFH,274226,1996-08-31,107453.0
ZALL,273480,1996-03-31,174796.0
Z5BR,82124,1996-10-31,227346.0
